Date,Home Team,Score,Away Team
4/30/21,Phoenix Rising,4-1,San Diego Loyal SC
5/8/21,Phoenix Rising,3-0,Oakland Roots
5/15/21,Tampa Bay Rowdies,2-1,Phoenix Rising
5/22/21,Phoenix Rising,5-1,Las Vegas Lights FC
5/29/21,Sacramento Republic FC,0-1,Phoenix Rising
6/5/21,Phoenix Rising,2-2,San Diego Loyal SC
6/12/21,Phoenix Rising,3-0,Tacoma Defiance
6/19/21,San Diego Loyal SC,2-1,Phoenix Rising
6/26/21,Sacramento Republic FC,1-2,Phoenix Rising
7/3/21,Phoenix Rising,3-0,LA Galaxy II
7/10/21,Charlotte Independence,1-1,Phoenix Rising
7/17/21,Phoenix Rising,5-0,LA Galaxy II
7/24/21,San Diego Loyal SC,0-1,Phoenix Rising
7/31/21,Phoenix Rising,3-1,Rio Grande Valley FC Toros
8/4/21,Oakland Roots,0-1,Phoenix Rising
8/7/21,Las Vegas Lights FC,2-2,Phoenix Rising
8/14/21,Phoenix Rising,1-1,Orange County SC
8/21/21,Phoenix Rising,0-0,Sacramento Republic FC
8/25/21,Oakland Roots,3-1,Phoenix Rising
8/28/21,Phoenix Rising,3-2,New Mexico Unitied
9/5/21,Tacoma Defiance,1-3,Phoenix Rising
9/11/21,LA Galaxy II,3-4,Phoenix Rising
9/15/21,Phoenix Rising,4-1,Las Vegas Lights FC
9/18/21,Phoenix Rising,2-1,Orange County SC
9/25/21,Tacoma Defiance,1-2,Phoenix Rising
9/29/21,LA Galaxy II,3-0,Phoenix Rising
10/2/21,Orange County SC,0-1,Phoenix Rising
10/9/21,Phoenix Rising,1-0,Oakland Roots
10/13/21,Orange County SC,1-0,Phoenix Rising
10/16/21,Las Vegas Lights FC,3-6,Phoenix Rising
10/23/21,Phoenix Rising,1-1,Sacramento Republic FC
10/30/21,Phoenix Rising,1-1,Tacoma Defiance
